Stimuli,Condition,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,session,participant,date,exp_name,frameRate,
4_1_14.png,ants,None,0,313,313,313,,['right'],0,[0.0001571178436279297],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
4_1_15.png,ants,None,0,314,314,314,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
27_1_14.png,rabbit,right,0,315,315,315,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
27_1_15.png,rabbit,None,0,316,316,316,,['right'],0,[0.00013017654418945312],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
22_1_13.png,catterpilar,right,0,317,317,317,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
22_1_14.png,catterpilar,None,0,318,318,318,,['right'],0,[0.0002751350402832031],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
22_1_15.png,catterpilar,None,0,319,319,319,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
39_1_9.png,umbrella,right,0,320,320,320,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
39_1_10.png,umbrella,None,0,321,321,321,,['right'],0,[0.0002779960632324219],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
39_1_11.png,umbrella,None,0,322,322,322,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
39_1_12.png,umbrella,None,0,323,323,323,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_5.png,chair,right,0,324,324,324,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_6.png,chair,None,0,325,325,325,,['right'],0,[0.00010991096496582031],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_7.png,chair,None,0,326,326,326,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_8.png,chair,None,0,327,327,327,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_9.png,chair,None,0,328,328,328,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
40_1_10.png,chair,None,0,329,329,329,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
18_1_14.png,gecko,right,0,330,330,330,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
18_1_15.png,gecko,None,0,331,331,331,,['right'],0,[0.00011777877807617188],001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
28_1_12.png,giraffe,right,0,332,332,332,,None,0,,001,S004,2022_May_26_1418,DecoderConst_fMRI,59.941234980049614,
